week_start,week_end,price,symbol,box_type
2022-02-14,2022-02-20,221.70,NEO,Collector
2022-02-21,2022-02-27,282.90,NEO,Collector
2022-02-28,2022-03-06,245.93,NEO,Collector
2022-03-07,2022-03-13,236.71,NEO,Collector
2022-03-14,2022-03-20,248.79,NEO,Collector
2022-03-21,2022-03-27,260.49,NEO,Collector
2022-03-28,2022-04-03,277.55,NEO,Collector
2022-04-04,2022-04-10,269.86,NEO,Collector
2022-04-11,2022-04-17,269.73,NEO,Collector
2022-04-18,2022-04-24,273.64,NEO,Collector
2022-04-25,2022-05-01,281.83,NEO,Collector
2022-05-02,2022-05-08,286.54,NEO,Collector
2022-05-09,2022-05-15,276.42,NEO,Collector
2022-05-16,2022-05-22,245.04,NEO,Collector
2022-05-23,2022-05-29,239.80,NEO,Collector
2022-05-30,2022-06-05,213.77,NEO,Collector
2022-06-06,2022-06-12,213.26,NEO,Collector
2022-06-13,2022-06-19,208.12,NEO,Collector
2022-06-20,2022-06-26,207.58,NEO,Collector
2022-06-27,2022-07-03,207.91,NEO,Collector
2022-07-04,2022-07-10,212.57,NEO,Collector
2022-07-11,2022-07-17,212.75,NEO,Collector
2022-07-18,2022-07-24,212.25,NEO,Collector
2022-07-25,2022-07-31,211.78,NEO,Collector
2022-08-01,2022-08-07,211.19,NEO,Collector
2022-08-08,2022-08-14,212.39,NEO,Collector
2022-08-15,2022-08-21,212.45,NEO,Collector
2022-08-22,2022-08-28,210.81,NEO,Collector
2022-08-29,2022-09-04,207.90,NEO,Collector
2022-09-05,2022-09-11,205.59,NEO,Collector
2022-09-12,2022-09-18,207.19,NEO,Collector
2022-09-19,2022-09-25,210.26,NEO,Collector
2022-09-26,2022-10-02,210.15,NEO,Collector
2022-10-03,2022-10-09,205.05,NEO,Collector
2022-10-10,2022-10-16,200.49,NEO,Collector
2022-10-17,2022-10-23,210.16,NEO,Collector
2022-10-24,2022-10-30,203.25,NEO,Collector
2022-10-31,2022-11-06,203.84,NEO,Collector
2022-11-07,2022-11-13,203.49,NEO,Collector
2022-11-14,2022-11-20,196.62,NEO,Collector
2022-11-21,2022-11-27,197.79,NEO,Collector
2022-11-28,2022-12-04,198.89,NEO,Collector
2022-12-05,2022-12-11,201.18,NEO,Collector
2022-12-12,2022-12-18,200.42,NEO,Collector
2022-12-19,2022-12-25,199.40,NEO,Collector
2022-12-26,2023-01-01,198.53,NEO,Collector
2023-01-02,2023-01-08,196.82,NEO,Collector
2023-01-09,2023-01-15,195.22,NEO,Collector
2023-01-16,2023-01-22,197.39,NEO,Collector
2023-01-23,2023-01-29,201.03,NEO,Collector
2022-02-14,2022-02-20,98.82,NEO,Draft
2022-02-21,2022-02-27,96.96,NEO,Draft
2022-02-28,2022-03-06,95.99,NEO,Draft
2022-03-07,2022-03-13,97.89,NEO,Draft
2022-03-14,2022-03-20,93.02,NEO,Draft
2022-03-21,2022-03-27,97.30,NEO,Draft
2022-03-28,2022-04-03,95.96,NEO,Draft
2022-04-04,2022-04-10,95.96,NEO,Draft
2022-04-11,2022-04-17,94.68,NEO,Draft
2022-04-18,2022-04-24,97.32,NEO,Draft
2022-04-25,2022-05-01,99.56,NEO,Draft
2022-05-02,2022-05-08,100.40,NEO,Draft
2022-05-09,2022-05-15,101.65,NEO,Draft
2022-05-16,2022-05-22,99.67,NEO,Draft
2022-05-23,2022-05-29,100.47,NEO,Draft
2022-05-30,2022-06-05,99.07,NEO,Draft
2022-06-06,2022-06-12,99.26,NEO,Draft
2022-06-13,2022-06-19,100.35,NEO,Draft
2022-06-20,2022-06-26,99.69,NEO,Draft
2022-06-27,2022-07-03,100.48,NEO,Draft
2022-07-04,2022-07-10,92.43,NEO,Draft
2022-07-11,2022-07-17,98.14,NEO,Draft
2022-07-18,2022-07-24,100.20,NEO,Draft
2022-07-25,2022-07-31,101.32,NEO,Draft
2022-08-01,2022-08-07,102.27,NEO,Draft
2022-08-08,2022-08-14,103.34,NEO,Draft
2022-08-15,2022-08-21,99.77,NEO,Draft
2022-08-22,2022-08-28,99.91,NEO,Draft
2022-08-29,2022-09-04,102.33,NEO,Draft
2022-09-05,2022-09-11,102.92,NEO,Draft
2022-09-12,2022-09-18,99.97,NEO,Draft
2022-09-19,2022-09-25,93.91,NEO,Draft
2022-09-26,2022-10-02,96.04,NEO,Draft
2022-10-03,2022-10-09,98.34,NEO,Draft
2022-10-10,2022-10-16,97.61,NEO,Draft
2022-10-17,2022-10-23,97.48,NEO,Draft
2022-10-24,2022-10-30,96.04,NEO,Draft
2022-10-31,2022-11-06,94.83,NEO,Draft
2022-11-07,2022-11-13,93.86,NEO,Draft
2022-11-14,2022-11-20,95.02,NEO,Draft
2022-11-21,2022-11-27,95.68,NEO,Draft
2022-11-28,2022-12-04,94.15,NEO,Draft
2022-12-05,2022-12-11,93.67,NEO,Draft
2022-12-12,2022-12-18,93.71,NEO,Draft
2022-12-19,2022-12-25,93.09,NEO,Draft
2022-12-26,2023-01-01,92.68,NEO,Draft
2023-01-02,2023-01-08,93.49,NEO,Draft
2023-01-09,2023-01-15,95.25,NEO,Draft
2023-01-16,2023-01-22,95.03,NEO,Draft
2023-01-23,2023-01-29,94.54,NEO,Draft
2022-02-14,2022-02-20,119.81,NEO,Set
2022-02-21,2022-02-27,117.73,NEO,Set
2022-02-28,2022-03-06,118.35,NEO,Set
2022-03-07,2022-03-13,116.19,NEO,Set
