Release Date,Set,Code,Type,Notes,Tag,Cards
1993-08,Alpha (Limited Edition),LEA (1E),Core set,Core set #1 (1st printing).,Booster,295
1993-10,Beta (Limited Edition),LEB (2E),Core set,Core set #1 (2nd printing).,Booster,302
1993-12,Arabian Nights,ARN (AN),Expansion set,1st expansion,Booster,92
1993-12,Unlimited Edition,2ED (2U),Core set,Core set #2.,Booster,302
1994-03,Antiquities,ATQ (AQ),Expansion set,2nd expansion,Booster,102
1994-04,Revised Edition,3ED (3E),Core set,Core set #3.,Booster,306
1994-06,Legends,LEG (LE),Expansion set,3rd expansion,Booster,310
1994-08,The Dark,DRK (DK),Expansion set,4th expansion,Booster,122
1994-11,Fallen Empires,FEM (FE),Expansion set,5th expansion,Booster,187
1995-05,Fourth Edition,4ED (4E),Core set,Core set #4..,Booster,379
1995-06,Ice Age,ICE (IA),Expansion set,"6th expansion, 1st standalone set",Booster,383
1995-07,Chronicles,CHR (CH),Compilation set,Expansion symbol from original printing,Booster,125
1995-08,Renaissance,,Compilation set,,Non-Booster,122
1995-10,Homelands,HML (HM),Expansion set,7th expansion,Booster,140
1996-06,Alliances,ALL (AL),Expansion set,8th expansion,Booster,199
1996-10,Mirage,MIR (MI),Expansion set,"9th expansion, 2nd standalone set",Booster,351
1997-02,Visions,VIS (VI),Expansion set,10th expansion,Booster,167
1997-03,Fifth Edition,5ED (5E),Core set,Core set #5.,Booster,460
1997-05,Portal,POR (PO),Starter set,Starter set #1,Non-Booster,256
1997-06,Weatherlight,WTH (WL),Expansion set,11th expansion,Booster,167
1997-10,Tempest,TMP (TE),Expansion set,"12th expansion, 3rd standalone set",Booster,350
1998-02,Stronghold,STH (ST),Expansion set,13th expansion,Booster,143
1998-06,Exodus,EXO (EX),Expansion set,14th expansion,Booster,143
1998-06,Portal Second Age,P02 (P2),Starter set,Starter set #2,Non-Booster,165
1998-08,Unglued,UGL (UG),Un-set,Un-set #1,Booster,88
1998-10,Urza's Saga,USG (UZ),Expansion set,15th expansion,Booster,356
1998-11,Anthologies,ATH,Box set,First box set,Non-Booster,85
1999-02,Urza's Legacy,ULG (UL),Expansion set,16th expansion,Booster,143
1999-04,Sixth Edition,6ED (6E),Core set,Core set #6,Booster,451
1999-06,Urza's Destiny,UDS (UD),Expansion set,17th expansion,Booster,143
1999-07,Portal Three Kingdoms,PTK (PK),Starter set,Starter set #3,Non-Booster,180
1999-08,Starter 1999,S99 (P3),Starter set,Starter set #4,Non-Booster,173
1999-09,Mercadian Masques,MMQ (MM),Expansion set,18th expansion,Booster,350
1999-11,Battle Royale,BRB,Box set,,Non-Booster,136
2000-02,Nemesis,NEM (NE),Expansion set,19th expansion,Booster,143
2000-04,Starter 2000,S00,Starter set,Starter set #5,Non-Booster,20
2000-06,Prophecy,PCY (PR),Expansion set,20th expansion,Booster,144
2000-09,Invasion,INV (IN),Expansion set,21st expansion,Booster,352
2000-10,Beatdown,BTD,Box set,,Non-Booster,90
2001-01,Planeshift,PLS (PS),Expansion set,22nd expansion,Booster,146
2001-04,Seventh Edition,7ED (7E),Core set,Core set #7,Booster,704
2001-05,Apocalypse,APC (AP),Expansion set,23rd expansion,Booster,143
2001-10,Odyssey,ODY (OD),Expansion set,24th expansion,Booster,352
2001-12,Deckmasters 2001,DKM,Box set,,Non-Booster,58
2002-02,Torment,TOR,Expansion set,25th expansion,Booster,143
2002-05,Judgment,JUD,Expansion set,26th expansion,Booster,143
2002-10,Onslaught,ONS,Expansion set,27th expansion,Booster,351
2003-01,Legions,LGN,Expansion set,28th expansion,Booster,145
2003-05,Scourge,SCG,Expansion set,29th expansion,Booster,143
2003-07,Eighth Edition,8ED,Core set,Core set #8,Booster,710
2003-10,Mirrodin,MRD,Expansion set,30th expansion,Booster,306
2004-02,Darksteel,DST,Expansion set,31st expansion,Booster,165
2004-06,Fifth Dawn,5DN,Expansion set,32nd expansion,Booster,165
2004-10,Champions of Kamigawa,CHK,Expansion set,33rd expansion,Booster,307
2004-11,Unhinged,UNH,Un-set,Un-set #2,Booster,168
2005-02,Betrayers of Kamigawa,BOK,Expansion set,34th expansion,Booster,165
2005-06,Saviors of Kamigawa,SOK,Expansion set,35th expansion,Booster,165
2005-07,Ninth Edition,9ED,Core set,Core set #9,Booster,709
2005-08,Salvat 2005,,Compilation set,Magic Encyclopedia set #1,Booster,720
2005-10,Ravnica: City of Guilds,RAV,Expansion set,36th expansion,Booster,306
2006-02,Guildpact,GPT,Expansion set,37th expansion,Booster,166
2006-05,Dissension,DIS,Expansion set,38th expansion,Booster,180
2006-07,Coldsnap,CSP,Expansion set,39th expansion,Booster,155
2006-10,Time Spiral,TSP,Expansion set,40th expansion,Booster,301
2007-02,Planar Chaos,PLC,Expansion set,41st expansion,Booster,165
2007-05,Future Sight,FUT,Expansion set,42nd expansion,Booster,180
2007-07,Tenth Edition,10E,Core set,Core set #10,Booster,508
2007-09,Masters Edition,MED,Compilation set,Magic Online Masters set #1,Digital,195
2007-10,Lorwyn,LRW,Expansion set,43rd expansion,Booster,301
2007-11,Duel Decks: Elves vs. Goblins,EVG,Box set,Duel Decks set #1,Non-Booster,62
2008-02,Morningtide,MOR,Expansion set,44th expansion,Booster,150
2008-05,Shadowmoor,SHM,Expansion set,45th expansion,Booster,302
2008-06,Eventide,EVE,Expansion set,46th expansion,Booster,180
2008-08,From the Vault: Dragons,DRB,Box set,From the Vault set #1,Non-Booster,15
2008-09,Masters Edition II,ME2,Compilation set,Magic Online Masters set #2,Digital,245
2008-10,Shards of Alara,ALA,Expansion set,47th expansion,Booster,250
2008-11,Duel Decks: Jace vs. Chandra,DD2,Box set,Duel Decks set #2,Non-Booster,64
2009-02,Conflux,CON,Expansion set,48th expansion,Booster,145
2009-04,Duel Decks: Divine vs. Demonic,DDC,Box set,Duel Decks set #3,Non-Booster,62
2009-04,Alara Reborn,ARB,Expansion set,49th expansion,Booster,145
2009-07,Magic 2010,M10,Core set,Core set #11,Booster,249
2009-08,From the Vault: Exiled,V09,Box set,From the Vault set #2,Non-Booster,15
2009-09,Planechase,HOP,Supplemental set,Planechase set #1,Non-Booster,169
2009-09,Masters Edition III,ME3,Compilation set,Magic Online Masters set #3,Digital,230
2009-10,Duel Decks: Garruk vs. Liliana,DDD,Box set,Duel Decks set #4,Non-Booster,63
2009-10,Zendikar,ZEN,Expansion set,50th expansion,Booster,269
2009-11,Premium Deck Series: Slivers,H09,Box set,Premium Deck Series set #1,Non-Booster,41
2010-02,Worldwake,WWK,Expansion set,51st expansion,Booster,145
2010-03,Duel Decks: Phyrexia vs. The Coalition,DDE,Box set,Duel Decks set #5,Non-Booster,71
2010-04,Rise of the Eldrazi,ROE,Expansion set,52nd expansion,Booster,248
2010-05,Deck Builder's Toolkit,,Box set,Deck Builder's Toolkit #1,Non-Booster,
2010-06,Duels of the Planeswalkers,DPA,Box set,Inspired by the digital game,Non-Booster,113
2010-06,Archenemy,ARC,Supplemental set,Archenemy set #1,Non-Booster,150
2010-07,Magic 2011,M11,Core set,Core set #12,Booster,249
2010-08,From the Vault: Relics,V10,Box set,From the Vault set #3,Non-Booster,15
2010-09,Duel Decks: Elspeth vs. Tezzeret,DDF,Box set,Duel Decks set #6,Non-Booster,79
2010-10,Scars of Mirrodin,SOM,Expansion set,53rd expansion,Booster,249
2010-11,Magic Online Deck Series,TD0,Box set,Magic Online only,Digital,197
2010-11,Momir Basic Event Deck,,Box set,Magic Online only,Digital,
2010-11,Premium Deck Series: Fire & Lightning,PD2,Box set,Premium Deck Series set #2,Non-Booster,
2011-01,Salvat 2011,,Compilation set,Magic Encyclopedia set #2,Booster,224
2011-01,Masters Edition IV,ME4,Compilation set,Magic Online Masters set #4,Digital,269
2011-02,Mirrodin Besieged,MBS,Expansion set,54th expansion,Booster,155
2011-03,Deck Builder's Toolkit 2011,,Box set,"Deck Builder's Toolkit #2.
Last self-contained toolkit.",Non-Booster,
2011-04,Duel Decks: Knights vs. Dragons,DDG,Box set,Duel Decks set #7,Non-Booster,81
2011-05,New Phyrexia,NPH,Expansion set,55th expansion,Booster,175
2011-06,Commander,CMD,Box set,Commander set #1,Commander,318
2011-07,Magic 2012,M12,Core set,Core set #13,Booster,249
2011-08,From the Vault: Legends,V11,Box set,From the Vault set #4,Non-Booster,15
2011-09,Duel Decks: Ajani vs. Nicol Bolas,DDH,Box set,Duel Decks set #8,Non-Booster,80
2011-09,Innistrad,ISD,Expansion set,56th expansion,Booster,246
2011-11,Premium Deck Series: Graveborn,PD3,Box set,Premium Deck Series set #3,Non-Booster,30
2012-02,Dark Ascension,DKA,Expansion set,57th expansion,Booster,158
2012-03,Duel Decks: Venser vs. Koth,DDI,Box set,Duel Decks set #9,Non-Booster,77
2012-05,Planechase 2012,PC2,Supplemental set,Planechase set #2,Non-Booster,156
2012-05,Avacyn Restored,AVR,Expansion set,58th expansion,Booster,244
2012-07,Magic 2013,M13,Core set,Core set #14,Booster,249
2012-08,From the Vault: Realms,V12,Box set,From the Vault set #5,Non-Booster,15
2012-09,Duel Decks: Izzet vs. Golgari,DDJ,Box set,Duel Decks set #10,Non-Booster,90
2012-10,Return to Ravnica,RTR,Expansion set,59th expansion,Booster,274
2012-11,Commander's Arsenal,CM1,Box set,Commander set #2,Commander,18
2013-01,Duel Decks: Mirrodin Pure vs. New Phyrexia,TD2,Box set,Magic Online Duel Deck,Digital,
2013-02,Gatecrash,GTC,Expansion set,60th expansion,Booster,249
2013-03,Duel Decks: Sorin vs. Tibalt,DDK,Box set,Duel Decks set #11,Non-Booster,80
2013-05,Dragon's Maze,DGM,Expansion set,61st expansion,Booster,156
2013-06,Modern Masters,MMA,Compilation set,Masters set #1,Booster,229
2013-07,Magic 2014,M14,Core set,Core set #15,Booster,249
2013-08,From the Vault: Twenty,V13,Box set,From the Vault set #6,Non-Booster,20
2013-09,Duel Decks: Heroes vs. Monsters,DDL,Box set,Duel Decks set #12,Non-Booster,81
2013-09,Theros,THS,Expansion set,62nd expansion,Booster,249
2013-11,Commander 2013,C13,Box set,Commander set #3,Commander,356
2014-02,Born of the Gods,BNG,Expansion set,63rd expansion,Booster,165
2014-03,Duel Decks: Jace vs. Vraska,DDM,Box set,Duel Decks set #13,Non-Booster,88
2014-05,Modern Event Deck,MD1,Box set,,Non-Booster,26
2014-05,Journey into Nyx,JOU,Expansion set,64th expansion,Booster,165
2014-06,Conspiracy,CNS,Supplemental set,Conspiracy set #1,Booster,210
2014-06,Vintage Masters,VMA,Compilation set,Magic Online Masters set #5,Digital,325
2014-07,Magic 2015,M15,Core set,Core set #16,Booster,284
2014-08,From the Vault: Annihilation,V14,Box set,From the Vault set #7,Non-Booster,15
2014-10,Khans of Tarkir,KTK,Expansion set,65th expansion,Booster,269
2014-10,Duel Decks: Speed vs. Cunning,DDN,Box set,Duel Decks set #14,Non-Booster,
2014-11,Commander 2014,C14,Box set,Commander set #4,Commander,337
2014-12,Duel Decks Anthology,DD3,Box set,Duel Decks reprint set,Non-Booster,249
2015-01,Fate Reforged,FRF,Expansion set,66th expansion,Booster,191
2015-02,Duel Decks: Elspeth vs. Kiora,DDO,Box set,Duel Decks set #15,Non-Booster,67
2015-03,Dragons of Tarkir,DTK,Expansion set,67th expansion,Booster,264
2015-05,Modern Masters 2015,MM2,Compilation set,Masters set #2,Booster,249
2015-05,Tempest Remastered,TPR,Compilation set,Magic Online Masters set #6,Digital,269
2015-07,Magic Origins,ORI,Core set,Core set #17,Booster,288
2015-08,From the Vault: Angels,V15,Box set,From the Vault set #8,Non-Booster,15
2015-08,Duel Decks: Zendikar vs. Eldrazi,DDP,Box set,Duel Decks set #16,Non-Booster,80
2015-10,Battle for Zendikar,BFZ,Expansion set,68th expansion,Booster,299
2015-11,Legendary Cube,PZ1,Compilation set,Magic Online only,Digital,149
2015-11,Commander 2015,C15,Box set,Commander set #5,Commander,342
2016-01,Zendikar Expeditions,EXP,Compilation set,Masterpiece Series set #1 (Battle for Zendikar block),Booster,45
2016-01,Oath of the Gatewatch,OGW,Expansion set,69th expansion,Booster,187
2016-02,Duel Decks: Blessed vs. Cursed,DDQ,Box set,Duel Decks set #17,Non-Booster,80
2016-04,Welcome Deck 2016,W16,Compilation set,Welcome Deck set #1,Non-Booster,16
2016-04,Shadows over Innistrad,SOI,Expansion set,70th expansion,Booster,302
2016-06,Eternal Masters,EMA,Compilation set,Masters set #3,Booster,249
2016-07,Eldritch Moon,EMN,Expansion set,71st expansion,Booster,208
2016-08,From the Vault: Lore,V16,Box set,From the Vault set #9,Non-Booster,16
2016-08,Conspiracy: Take the Crown,CN2,Supplemental set,Conspiracy set #2,Booster,222
2016-09,Duel Decks: Nissa vs. Ob Nixilis,DDR,Box set,Duel Decks set #18,Non-Booster,76
2016-09,Kaladesh,KLD,Expansion set,72nd expansion,Booster,278
2016-10,Treasure Chests,PZ2,Compilation set,Magic Online only,Digital,282
